open,open,high,low,close,previous,previous_ratio,volume
22/05/06,"1,902.40","1,919.61","1,890.32","1,915.91",17.56,0.9,"1,498,560,000"
22/05/02,"1,899.92","1,910.98","1,887.27","1,898.35",-1.27,-0.1,"1,194,200,000"
22/04/28,"1,865.17","1,901.39","1,862.42","1,899.62",38.86,2.1,"1,383,630,000"
22/04/27,"1,853.39","1,861.45","1,842.78","1,860.76",-17.75,-0.9,"1,655,610,000"
22/04/26,"1,881.49","1,885.47","1,872.30","1,878.51",1.99,0.1,"1,034,500,000"
22/04/25,"1,875.17","1,882.47","1,866.90","1,876.52",-28.63,-1.5,"1,013,500,000"
22/04/22,"1,908.22","1,909.92","1,892.85","1,905.15",-22.85,-1.2,"979,400,000"
22/04/21,"1,915.89","1,929.89","1,914.31","1,928.00",12.85,0.7,"1,029,120,000"
22/04/20,"1,911.72","1,926.21","1,905.90","1,915.15",19.45,1,"1,146,540,000"
22/04/19,"1,898.05","1,899.39","1,883.39","1,895.70",15.62,0.8,"961,960,000"
22/04/18,"1,880.76","1,885.39","1,863.59","1,880.08",-16.23,-0.9,"834,810,000"
22/04/15,"1,890.72","1,902.74","1,881.46","1,896.31",-11.74,-0.6,"880,060,000"
22/04/14,"1,894.84","1,908.27","1,892.51","1,908.05",17.99,1,"1,010,050,000"
22/04/13,"1,869.15","1,892.58","1,867.36","1,890.06",26.43,1.4,"1,165,820,000"
22/04/12,"1,880.22","1,883.11","1,861.16","1,863.63",-26.01,-1.4,"1,175,860,000"
22/04/11,"1,892.70","1,897.55","1,881.82","1,889.64",-7.15,-0.4,"1,148,890,000"
22/04/08,"1,904.37","1,906.76","1,883.56","1,896.79",3.89,0.2,"1,270,960,000"
22/04/07,"1,899.79","1,900.65","1,881.83","1,892.90",-30.01,-1.6,"1,188,110,000"
22/04/06,"1,934.89","1,936.00","1,919.25","1,922.91",-26.21,-1.3,"1,174,860,000"
22/04/05,"1,967.36","1,967.68","1,942.78","1,949.12",-4.51,-0.2,"1,155,440,000"
22/04/04,"1,946.55","1,953.83","1,941.96","1,953.63",9.36,0.5,"1,009,460,000"
22/04/01,"1,933.04","1,947.90","1,921.15","1,944.27",-2.13,-0.1,"1,190,290,000"
22/03/31,"1,952.96","1,970.22","1,946.40","1,946.40",-21.2,-1.1,"1,340,430,000"
22/03/30,"1,980.01","1,982.59","1,949.87","1,967.60",-24.06,-1.2,"1,404,420,000"
22/03/29,"1,985.39","1,991.66","1,978.44","1,991.66",18.29,0.9,"1,362,360,000"
